0,0.00,4.35,0,,
0,0,4.48,0,,
9.39,73.52,4.56,0,,
34.62,271.07,4.58,0,,
73.94,578.95,4.56,0,,
89,696.87,3.33,1,,
54,422.82,4.35,0,,
1.17,9.16,4.19,0,,
0,0,4.02,0,,
0,0,3.87,0,,
58.09,454.84,3.78,0,,
85,665.55,3.95,1,,
60.45,473.32,4.24,0,,
185.45,1452.07,4.49,0,,
33.37,261.29,4.66,0,,
5.27,41.26,4.74,0,,
36.3,284.23,4.74,0,,
91,712.53,3.8,1,,
22.25,174.22,4.52,0,,
8.8,68.9,4.34,0,,
1.75,13.7,4.13,0,,
0,0,3.91,0,,
1.17,9.16,3.69,0,,
96,751.68,3.5,1,,
15.81,123.79,3.35,0,,
4.09,32.02,3.31,0,,
2.34,18.32,3.55,0,,
4.68,36.64,3.81,0,,
0,0,4.06,0,,
98,767.34,3.85,1,,
1.17,9.16,4.49,0,,
18.15,142.11,4.64,0,,
12.29,96.23,4.72,0,,
18.15,142.11,4.72,0,,
2.93,22.94,4.65,0,,
102,798.66,3.3,1,,
1.76,13.78,4.29,0,,
4.69,36.72,4.04,0,,
40.4,316.33,3.79,0,,
6.44,50.43,3.63,0,,
7.61,59.59,3.81,0,,
105,822.15,4.05,1,,
1.76,13.78,4.27,0,,
21.66,169.6,4.45,0,,
117.1,916.89,4.56,0,,
125.29,981.02,4.6,0,,
28.68,224.56,4.58,0,,
95,743.85,4,1,,
7.61,59.59,4.35,0,,
83.72,655.53,4.17,0,,
46.83,366.68,3.96,0,,
93.67,733.44,3.74,0,,
94.85,742.68,3.52,0,,
103,806.49,3.32,1,,
7.03,55.04,3.19,0,,
106.56,834.36,3.38,0,,
37.47,293.39,3.65,0,,
40.98,320.87,3.95,0,,
66.74,522.57,4.24,0,,
109,853.47,4.1,1,,
0,0,4.68,0,,
7.03,55.04,4.78,0,,
1.75,13.7,4.79,0,,
0,0,4.69,0,,
0.59,4.62,4.5,0,,
107,837.81,3.67,1,,
7.03,55.04,3.91,0,,
40.98,320.87,3.63,0,,
6.44,50.43,3.55,0,,
97.77,765.54,3.66,0,,
73.77,577.62,3.88,0,,
105,822.15,4.09,1,,
193.21,1512.83,4.27,0,,
66.16,518.03,4.38,0,,
18.15,142.11,4.44,0,,
7.64,59.82,4.43,0,,
4.1,32.1,4.37,0,,
93,728.19,3.59,1,,
4.1,32.1,4.09,0,,
11.71,91.69,3.9,0,,
4.68,36.64,3.7,0,,
1.75,13.7,3.48,0,,
1.17,9.16,3.28,0,,
110,861.3,3.32,1,,
1.76,13.78,3.29,0,,
0,0,3.55,0,,
6.44,50.43,3.87,0,,
6.44,50.43,4.18,0,,
6.44,50.43,4.45,0,,
89,696.87,4.12,1,,
6.44,50.43,4.75,0,,
1.17,9.16,4.74,0,,
4.68,36.64,4.62,0,,
5.85,45.81,4.51,0,,
41.57,325.49,4.27,0,,
109.56,857.85,3.96,1,,
0,0,3.67,0,,
1.76,13.78,3.5,0,,
0,0,3.56,0,,
0,0,3.75,0,,
7.03,,3.93,0,,
112.21,,4.08,1,,
37.47,,4.17,0,,
15.81,,4.22,0,,
83.14,,4.22,0,,
220.14,,4.17,0,,
233.02,,4.14,0,,
100.69,,4.1,1,,
49.18,,4,0,,
9.37,,3.84,0,,
2.34,,3.66,0,,
36.3,,3.47,0,,
38.64,,3.34,0,,
105.67,,3.34,1,,
26.35,,3.53,0,,
11.71,,3.81,0,,
10.54,,4.1,0,,
14.05,,4.43,0,,
2.34,,4.72,0,,
110,,4.26,1,,
0.56,,4.88,0,,
0.56,,4.87,0,,
4.68,,4,0,,
35.13,,4.37,0,,
6.44,,4.68,0,,
113,,4.34,1,,
35.13,,4.99,0,,
2.34,,4.97,0,,
2.93,,4.85,0,,
0,,4.65,0,,
1.17,,4.4,0,,
102.57,,4.12,1,,
5.23,,3.85,0,,
0,,3.62,0,,
11.71,,3.46,0,,
10.54,,3.39,0,,
10.54,,3.6,0,,
98.73,,3.81,1,,
2.34,,4.01,0,,
0.59,,4.18,0,,
0,,4.32,0,,
0,,4.42,0,,
0,,4.48,0,,
119.83,,4.19,1,,
0,,4.47,0,,
0,,4.4,0,,
0,,4.28,0,,
0,,4.13,0,,
0,,3.96,0,,
100,,3.8,1,,
0,,3.69,0,,
0,,3.92,0,,
0,,4.23,0,,
14.62,,4.51,0,,
0,,4.73,0,,
107,,3.67,1,,
0,,4.87,0,,
0,,4.8,0,,
12.66,,4.64,0,,
0,,4.42,0,,
0,,4.15,0,,
106.82,,3.87,1,,
0,,3.61,0,,
0,,3.37,0,,
13.35,,3.22,0,,
47.17,,3.39,0,,
51.82,,3.61,0,,
103.5,,3.44,1,,
0,,4.06,0,,
0,,4.26,0,,
0,,4.41,0,,
0,,4.52,0,,
0,,4.58,0,,
107.56,,3.8,1,,
26,,4.5,0,,
20.03,,4.36,0,,
0.8,,4.16,0,,
12.1,,3.92,0,,
75.75,,3.68,0,,
117.53,,3.61,1,,
18.06,,3.79,0,,
0.83,,4.07,0,,
13.43,,4.34,0,,
0,,4.55,0,,
45.94,,4.68,0,,
110.53,,4.1,1,,
76.45,,4.66,0,,
67.83,,4.52,0,,
38,,4.32,0,,
0,,4.08,0,,
7.5,,3.82,0,,
100.42,,3.55,1,,
34.69,,3.3,0,,
18.79,,3.14,0,,
12.82,,3.22,0,,
74.5,,3.44,0,,
16.15,,3.69,0,,
108.52,,3.25,1,,
18.14,,4.18,0,,
0,,4.38,0,,
8.21,,4.52,0,,
0.92,,4.59,0,,
57.3,,4.58,0,,
106.52,,3.39,1,,
70.56,,4.31,0,,
10.22,,4.08,0,,
1.6,,3.86,0,,
1.61,,3.65,0,,
2.28,,3.57,0,,
104.52,,3.7,1,,
4.27,,3.94,0,,
10.91,,4.17,0,,
4.95,,4.35,0,,
0.97,,4.46,0,,
0.98,,4.48,0,,
111.2,,4.23,1,,
8.28,,4.31,0,,
16.24,,4.15,0,,
12.93,,4.01,0,,
6.31,,3.83,0,,
0,,3.61,0,,
98.54,,3.39,1,,
4.33,,3.21,0,,
3,,3.17,0,,
3.01,,3.32,0,,
1.03,,3.57,0,,
11.64,,3.83,0,,
93.45,,4.08,1,,
4.36,,4.29,0,,
2.37,,4.44,0,,
9,,4.52,0,,
18.3,,4.64,0,,
5.71,,4.65,0,,
114.52,,4.03,1,,
10.35,,4.31,0,,
5.05,,4.02,0,,
1.07,,3.74,0,,
1.08,,3.6,0,,
0,,3.66,0,,
101.23,,3.82,1,,
0,,3.99,0,,
84,,4.12,0,,
